id,author_id,text,created_at
647,Anon54,"An area that we should see as important and necessary for all regardless of how nature plays out? It is important to have access to health care, dental care, vision care, etc regardless. So, why intentionally screw over people that are less fortunate? Why?

#utopia #caring",2023-02-01T15:41:26+0200
836,Anon55,"Source: Stockholm+50: Unlocking a Better Future, Stockholm Environment Institute https://t.co/SwizDnz5Jo 



@SEIresearch @CEEWIndia @StockholmPlus50 #stockholmplus50",2022-12-22T19:00:50+0200
1598,Anon56,"Let us give other biodiversity species and our future generations the opportunity to breathe normally; let us conserve the mangrove ecosystem. 



#WorldMangroveDay2022

#stopmangrovedestruction #savemangrove #mangroveecosystem



📷 CIFOR https://t.co/XNRvgwR07E",2022-07-26T11:41:19+0300
338,Anon57,"The sea is a giant carbon capturing joy of nature.



The problem is we've decided dilution is  the solution, and have almost killed the seas.



the truth is - diluting is polluting.



See @goes_foundation for hope and anharm free future. https://t.co/4CGLTJExRf",2023-03-30T01:39:21+0300
1523,Anon58,"☁️💨Mangroves protect coastlines, protect biodiversity and protect local livelihoods.



☁️💨Vida Manglar, is the first project to adequately measure and value 'blue carbon' — the carbon stored in coastal ecosystems such as mangrove forests.



🌐https://t.co/Jhkyq34igv



#rainforest https://t.co/7kkm1cj4Bo",2022-08-03T22:55:00+0300
646,Anon59,#BreakFreeFromPlastic - The global movement envisioning a future free from plastic pollution. #environment #plastic #PlasticPollution https://t.co/uC6DXZrPJQ,2023-02-02T00:28:33+0200
156,Anon60,"The renewable energy industry is good for our community environment and economy because the future is green, sustainable, and renewable energy. #RenewableEnergy #Amshaamsha2023 https://t.co/Agr96kcmLK",2023-04-24T09:55:12+0300
580,Anon61,"Without the need for dedicated land or water, honeybees offer a more stable climate future. https://t.co/xxexPtTdsX",2023-02-17T10:46:47+0200
536,Anon62,“Mangroves do a little of everything. Their branches house birds and honeybees. Their tangled ne…” @nature_org https://t.co/NJzsQl5yRf @Environment_Ke #ClimateAction #ClimateActionNow,2023-02-28T10:42:58+0200
1271,Anon63,"@MrsPress Total rejection of #fossilfuel for feedstock and protection of #nature which will provide all we need. But above all, preloved clothing in the warehouse instead of virgin textiles. Refashioning instead of fabrication.

https://t.co/XdpkcT8WfS",2022-09-30T10:26:42+0300
431,Anon64,"The air we breathe affects every aspect of our lives, from our health to the environment. That's why #AIRO is committed to reshaping air quality science and technology for a healthier future.🪴💚 @airosystems",2023-03-20T08:47:36+0200
962,Anon65,"Water is a part of everything. We can’t exist without it. It’s essential to our health, environment, economy, and quality of life. Everyone has a responsibility to protect it by working together to keep it clean and healthy for today and the future. #ISAWWAWATERAMBASSADOR",2022-12-01T18:27:00+0200
1166,Anon66,"@MamaforestP is honoured to be part of this @NaturePlants front cover endeavour on #mangroves with the support of @belspo @BelgianEO. Matang 🇲🇾 is expected to stay a key site to study future mangrove land- and seascapes.



DOI: https://t.co/ovgqixU3JR 

PDF: https://t.co/JPb1OcvCPy https://t.co/I76oDVtTNK",2022-10-20T12:32:11+0300
128,Anon67,"Implementing processes to help create a more circular economy helps protect the environment through the reduction of waste, resources are available for future use, and can help businesses save billions of dollars annually in costs and other economic benefits. (1/2)",2023-04-28T23:14:47+0300
1716,Anon68,"Lake Lansing, MI [OC] [7030x4688] by UnlikelyState . The aim is to spread awareness among the people so that future generations can also admire such impeccable beauty. Stop wasting resources. #water #beauty #amazing #savewater #nature #trending  https://t.co/W8Paftk8Lq https://t.co/LWNyAeyNb7",2022-07-03T06:16:32+0300
1731,Anon69,"@anandnc1983 @Anbil_Mahesh @DrMariaNeira @SABRINA_project @sselvan @RaviSpy1836 @SUMP_PLUS_EU @LondonCycle3 @CIVITAS_EU @CMOTamilnadu This one is if evolved, possibility of more #cyclists will be in future, where roads will have less cars as motivation on youngsters will reap a better environment. Think,@CMOTamilnadu has to begin in Chennai 'gated cycling passage for students ' 

@SABRINA_project 

@Bharath36502",2022-06-29T12:06:00+0300
1248,Anon70,Pope's vision for environment! https://t.co/yOrX26mUVX via @RNS,2022-10-05T18:41:10+0300
1720,Anon71,"Healthy environment for future generations 

Say no to single use of plastic

#BeatPlasticPollution https://t.co/geFVWsdp8d",2022-07-02T17:49:05+0300
1402,Anon72,Smarter cities for a better future https://t.co/8VzKEMPveL,2022-09-01T14:12:01+0300
1824,Anon73,"Behind the scenes! 🎥 

Keep an eye out for an upcoming special on our Future Healers Program and #GotZooBuddies nature based therapy. #2XGameChangers https://t.co/2fFGcP6Zt5",2022-06-13T16:06:52+0300
956,Anon74,"👏Costa Rica made new commitments for the country’s mangrove forests last year. Mangroves and other coastal wetlands are natural protection networks against climate change and rich in biodiversity. 



https://t.co/thwq7qQ9MA",2022-12-02T13:22:27+0200
1433,Anon75,"Well I didn't see this one coming.

What it does show is that there is likely to be many ways of recycling turbine blades in the future.



https://t.co/Om2DMD7oLy",2022-08-24T11:35:50+0300
980,Anon76,"The Soka Institute of the Amazon is the realization of the vision of Daisaku Ikeda, a Buddhist philosopher, peacebuilder, and conservationist who recognized the importance of the Amazon and its biodiversity.



Learn more about the Soka Institute here: 

https://t.co/wB8W1Xpx6L https://t.co/gi9eohN1J9",2022-11-28T11:00:29+0200
240,Anon77,"@mikewachira Ultimately, the future of humanity is uncertain and depends on a complex interplay of factors such as technology, politics, and the environment. It is up to us as individuals and as a society to work towards a positive future and avoid repeating the mistakes of the past.",2023-04-19T14:05:21+0300
1423,Anon78,"@youthinconserv @REMA_Rwanda @GGGI_Rwanda @FAOForestry @Climat_Alliance @climate_mission @RwandaForestry @AWF_Official @ClimateWorks @GreenFundRw @circleeconomy You’re doing an excellent job, your efforts will create a better future for all of us. Join our platform and get to connect like minded people and create an impact on the environment extensively.",2022-08-25T13:00:22+0300
488,Anon79,Pope Francis calls on governments to take steps to protect the oceans and ensure it will also benefit future generations.  https://t.co/hhdILo8JsP,2023-03-07T12:30:00+0200
591,Anon80,New practical guide integrates science with messages from Pope Francis to promote action for a sustainable future https://t.co/4Dtbx7HA9Y,2023-02-14T16:06:36+0200
716,Anon81,"Top #biodiversity story: World Heritage Centre - Shaping the future of climate adaptation through Resilient Reefs https://t.co/vVaaaT5xSy, see more https://t.co/CocH1mcEbP",2023-01-16T20:18:50+0200
1092,Anon82,"The future lies in sustainability! The Ammon Zeus Luxury Beach Hotel is a proud member of the Green Key chain by featuring every year a brand-new facility that makes nature thrive again!



Read more with a tap: https://t.co/rFWzvsrHzq



#ammonzeushotel #halkidiki #greece https://t.co/y7JTJSsLTI",2022-11-02T16:06:25+0200
1081,Anon83,A threatened giant fish species has returned to the lakes of the Medio Jurua in Brazil thanks to multifaceted cooperation. Such efforts have not been seen in the vast region before – and it’s a vision of what’s possible in future Amazon conservation ... https://t.co/LXBDTZOkWb,2022-11-03T21:37:11+0200
1352,Anon84,"Prompt: cell phones dancing in the forest #dalle2 #aiart My vision of humanity, tech, and the environment coexisting in harmony #SWFutures #SWTech @socworkpodcast https://t.co/ApGZ69mIme",2022-09-14T02:40:26+0300
1285,Anon85,This #WorldTourism day see how they’re leading the way in is leading the way in “#RethinkingTourism”: https://t.co/ueCot77HRk,2022-09-27T00:50:44+0300
1876,Anon86,"Continuing our mission towards sustainability, Greenlam Industries carried out a plantation drive yesterday, 5th June'22. The plantation drive did not just aim to plant trees for a greener environment but also to plant the seeds for a better future for the world.

#EnvironmentDay https://t.co/Q3osEJccRL",2022-06-06T16:31:51+0300
1489,Anon87,"TDChallenge22 is a multidisciplinary competition which seeks to break down silos and build a learning environment which can empower our future architects, engineers, and designers to build low-carbon using wood.



https://t.co/jGYJER3MSJ",2022-08-11T22:05:04+0300
1399,Anon88,"Mangrove Tree Planting in Tawi-Tawi 🙂



Building a more resilient environment for our future generations.



#IntergenerationalResponsibility https://t.co/FMyfTbPFRz",2022-09-02T10:02:59+0300
253,Anon89,"@pig_witch Excellent - beautiful places should be appreciated. And it's my dream creative festival venue so if body, energy and finances align at some future point, who knows - we could both be there creating nature art and enjoying the sunshine",2023-04-16T21:20:40+0300
1016,Anon90,"Fashion is an instrument for change, to shift us emotionally. I look at the forces behind the forms in nature, these patterns and natural cycles are my guide to explore new forms of femininity for a more sustainable fashion for the future.” - @irisvanherpen 

#asake

#fashion https://t.co/zQdaH8eJMe",2022-11-17T16:51:55+0200
1781,Anon91,Can this emerging arm of the dive industry play a role in coral reef preservation by offering opportunities away from the natural marine environment? @sarahtrvls (literally) takes a deep dive to find out. https://t.co/zJs4wumbD6,2022-06-21T15:39:16+0300
1755,Anon92,"ONLY ONE QUESTION TO OUR CURRENT PRIME MINISTER INDIA1.WHY IN OUR COUNTRY YOUR GOVERNMENT ALLOWING NON ORGANIC PRODUCTS AND ORGANIC PRODUCTS IN SAME TIME.PLZ 

FOR BETTER INDIA IN FUTURE ONLY ALLOWED ORGANIC PRODUCTS IT WILL BECOME CLEAN AND GOOD GREEN ENVIRONMENT🇮🇳INDIA IN FUTURE",2022-06-25T14:47:14+0300
1048,Anon93,More and more massive wooden buildings are popping up in major cities all over the country. It’s a climate friendly building material that’s leading the way in modern construction. You can read more about the future of wooden high rises here. https://t.co/6mMlUzVE80 https://t.co/6I9Jw0b2RM,2022-11-10T18:10:01+0200
1971,Anon94,"Cycling is the best opportunity to invest in a healthier, wealthier, and better future for all of us. With perfect health, a fatter wallet, and a greener environment, cycling makes everything possible. #WorldBicycleDay @outdoors91in  #worldbicycleday2022 https://t.co/XZ8NMGDKBk",2022-06-03T16:28:50+0300
1239,Anon95,"#GoGreen to keep the environment clean!



#JaipuriaInstituteofManagement, Ghaziabad, carried out the Annual Tree Plantation Drive 2022 with enthusiasm and zeal.

The drive is a testimony to our commitment towards a greener and sustainable future of the nation.



#JaipuriaGoesGreen https://t.co/x1VllgAd4c",2022-10-08T10:25:07+0300
1287,Anon96,"At the WTTC Global Leaders Dialogue during #G20Indonesia, we heard about effective practices across the private sector to nurture the workforce, protect communities and the environment, and ultimately work towards a more sustainable and resilient future. 



#TravelAndTourism https://t.co/Uoc0N37876",2022-09-26T16:30:29+0300
2006,Anon97,"Important celebration this week! 🥳 - #Stockholm50 - 50 years of global environmental action since the 1972 UN Human Environment Conference. Hope to see our governments accelerate commitments for a sustainable, inclusive, peaceful and gender-responsive future.🌍#OnlyOneEarth",2022-06-01T12:55:46+0300
148,Anon98,"For the preservation of the environment and a brighter future. Another success for the Cochin Shipyard in the direction of zero carbon emission and sustainable transportation. Kudos to @cslcochin and @MetroRailKochi 👏🏻



#zeroemissions #kochiwatermetro #electricboat https://t.co/d5ae1niceE",2023-04-26T20:49:09+0300
1143,Anon99,Nice to see some positive news. I have been involved in the timber business since 1972. The use of mass-timber for medium and even high-rise buildings is a win for the environment https://t.co/hPDMLbvpY4. https://t.co/Q2oooD4JSI https://t.co/21VRGErUOg,2022-10-24T01:40:49+0300
98,Anon100,"""Most rivers in the Balkans are so ecologically valuable they should be completely off limits for hydropower development, conservationists say. Among them are two candidates for future river national parks—the Una and the Morača"" #Bosnia 🇧🇦 https://t.co/0em2YJ7KCc",2023-05-06T15:33:59+0300
